,Name,Link
155,Jason Katz,/name/nm0441735/?ref_=tt_cl_wr_2
156,James Ellroy,/name/nm0255278/?ref_=tt_cl_wr_1
157,Ethan Coen,/name/nm0001053/?ref_=tt_cl_wr_2
158,Gillo Pontecorvo,/name/nm0690597/?ref_=tt_cl_wr_2
159,Dean DeBlois,/name/nm0213450/?ref_=tt_cl_wr_2
160,William Peter Blatty,/name/nm0087861/?ref_=tt_cl_wr_1
161,Kim Krizan,/name/nm0471811/?ref_=tt_cl_wr_2
162,Wajdi Mouawad,/name/nm1416431/?ref_=tt_cl_wr_1
163,Nobuaki Minegishi,/name/nm2057405/?ref_=tt_cl_wr_2
164,Mary Orr,/name/nm0650581/?ref_=tt_cl_wr_2
165,Scott Frank,/name/nm0291082/?ref_=tt_cl_wr_2
166,Hugo Guinness,/name/nm2450453/?ref_=tt_cl_wr_3
167,Quentin Tarantino,/name/nm0000233/?ref_=tt_cl_wr_1
168,Ron Clements,/name/nm0166256/?ref_=tt_cl_wr_1
169,Andrew Stanton,/name/nm0004056/?ref_=tt_cl_wr_2
170,Wladyslaw Szpilman,/name/nm0844262/?ref_=tt_cl_wr_2
171,Steve Kloves,/name/nm0460141/?ref_=tt_cl_wr_1
172,Alan Ball,/name/nm0050332/?ref_=tt_cl_wr_1
173,Olivier Nakache,/name/nm0619923/?ref_=tt_cl_wr_1
174,Samuel Hopkins Adams,/name/nm0011343/?ref_=tt_cl_wr_2
175,Chris McKenna,/name/nm0571344/?ref_=tt_cl_wr_1
176,Georges Arnaud,/name/nm1064118/?ref_=tt_cl_wr_1
177,Robert Bolt,/name/nm0004122/?ref_=tt_cl_wr_1
178,Diana Wynne Jones,/name/nm1168510/?ref_=tt_cl_wr_2
179,Chung Seo-kyung,/name/nm1941029/?ref_=tt_cl_wr_2
180,Germán Servidio,/name/nm1238855/?ref_=tt_cl_wr_3
181,Paul Haggis,/name/nm0353673/?ref_=tt_cl_wr_1
182,Guillermo del Toro,/name/nm0868219/?ref_=tt_cl_wr_1
183,Sergio Donati,/name/nm0006872/?ref_=tt_cl_wr_1
184,David S. Goyer,/name/nm0275286/?ref_=tt_cl_wr_3
185,Éric Toledano,/name/nm0865918/?ref_=tt_cl_wr_2
186,Montgomery Clift,/name/nm0001050/?ref_=tt_cl_wr_2
187,Jordan Belfort,/name/nm0067789/?ref_=tt_cl_wr_2
188,Stuart Beattie,/name/nm0064181/?ref_=tt_cl_wr_3
189,Frank Abagnale Jr.,/name/nm0007646/?ref_=tt_cl_wr_1
190,Roberto Benigni,/name/nm0000905/?ref_=tt_cl_wr_2
191,Jim Mahoney,/name/nm2700235/?ref_=tt_cl_wr_2
192,Clark Cheng,/name/nm1038805/?ref_=tt_cl_wr_2
193,Dave Callaham,/name/nm1709264/?ref_=tt_cl_wr_3
194,Lee Unkrich,/name/nm0881279/?ref_=tt_cl_wr_3
195,Harold Ramis,/name/nm0000601/?ref_=tt_cl_wr_2
196,Irene Mecchi,/name/nm0575293/?ref_=tt_cl_wr_1
197,Ryûnosuke Akutagawa,/name/nm0015611/?ref_=tt_cl_wr_1
198,Edgar Allan Woolf,/name/nm0941138/?ref_=tt_cl_wr_3
199,Bong Joon Ho,/name/nm0094435/?ref_=tt_cl_wr_1
200,Adolph Green,/name/nm0337582/?ref_=tt_cl_wr_2
201,John Hodge,/name/nm0388076/?ref_=tt_cl_wr_2
202,Gustav Hasford,/name/nm0368007/?ref_=tt_cl_wr_3
203,Piero De Bernardi,/name/nm0207401/?ref_=tt_cl_wr_3
204,Alan Mak,/name/nm0538320/?ref_=tt_cl_wr_2
205,Lewis R. Foster,/name/nm0287931/?ref_=tt_cl_wr_2
206,Denis Villeneuve,/name/nm0898288/?ref_=tt_cl_wr_2
207,Curtis Hanson,/name/nm0000436/?ref_=tt_cl_wr_3
208,John Steinbeck,/name/nm0825705/?ref_=tt_cl_wr_2
209,Fran Walsh,/name/nm0909638/?ref_=tt_cl_wr_2
210,Michael Cimino,/name/nm0001047/?ref_=tt_cl_wr_1
211,F.X. Toole,/name/nm0101801/?ref_=tt_cl_wr_2
212,Robert Bloch,/name/nm0088645/?ref_=tt_cl_wr_2
213,Ron Chernow,/name/nm2375857/?ref_=tt_cl_wr_2
214,Jon Krakauer,/name/nm1040556/?ref_=tt_cl_wr_2
215,Philippa Boyens,/name/nm0101991/?ref_=tt_cl_wr_3
216,Al Boasberg,/name/nm0090213/?ref_=tt_cl_wr_3
217,M. Night Shyamalan,/name/nm0796117/?ref_=tt_cl_wr_1
218,William Wisher,/name/nm0936537/?ref_=tt_cl_wr_2
219,Michael Crichton,/name/nm0000341/?ref_=tt_cl_wr_1
220,Tom Schulman,/name/nm0776114/?ref_=tt_cl_wr_1
221,Francis Ford Coppola,/name/nm0000338/?ref_=tt_cl_wr_2
222,Hideo Oguni,/name/nm0644823/?ref_=tt_cl_wr_2
223,David Reynolds,/name/nm0721675/?ref_=tt_cl_wr_3
224,Sachin K. Ladia,/name/nm4556473/?ref_=tt_cl_wr_3
225,Charlie Kaufman,/name/nm0442109/?ref_=tt_cl_wr_1
226,Ted Hughes,/name/nm0400954/?ref_=tt_cl_wr_3
227,Sung-bo Shim,/name/nm1646563/?ref_=tt_cl_wr_3
228,Christopher Nolan,/name/nm0634240/?ref_=tt_cl_wr_3
229,Buster Keaton,/name/nm0000036/?ref_=tt_cl_wr_1
230,Stefan Zweig,/name/nm0959003/?ref_=tt_cl_wr_1
231,Isao Takahata,/name/nm0847223/?ref_=tt_cl_wr_2
232,Ingmar Bergman,/name/nm0000005/?ref_=tt_cl_wr_1
233,Ethan Hawke,/name/nm0000160/?ref_=tt_cl_wr_3
234,Vidhu Vinod Chopra,/name/nm0006765/?ref_=tt_cl_wr_3
235,Sergio Pablos,/name/nm0655053/?ref_=tt_cl_wr_1
236,Terry George,/name/nm0313623/?ref_=tt_cl_wr_2
237,Eric Bergren,/name/nm0075015/?ref_=tt_cl_wr_2
238,Chuck Palahniuk,/name/nm0657333/?ref_=tt_cl_wr_1
239,Jonathan Nolan,/name/nm0634300/?ref_=tt_cl_wr_2
240,Vanna Paoli,/name/nm0660031/?ref_=tt_cl_wr_2
241,Michelle Keserwany,/name/nm9878616/?ref_=tt_cl_wr_3
242,Albert Hackett,/name/nm0352443/?ref_=tt_cl_wr_2
243,William Nicholson,/name/nm0629933/?ref_=tt_cl_wr_3
244,David Lynch,/name/nm0000186/?ref_=tt_cl_wr_3
245,Philippe Pozzo di Borgo,/name/nm4778840/?ref_=tt_cl_wr_3
246,Paul Brickhill,/name/nm0108595/?ref_=tt_cl_wr_1
247,MacKinlay Kantor,/name/nm0437969/?ref_=tt_cl_wr_2
248,Frank Herbert,/name/nm0378541/?ref_=tt_cl_wr_3
249,George Miller,/name/nm0004306/?ref_=tt_cl_wr_1
250,Betty Comden,/name/nm0173679/?ref_=tt_cl_wr_1
251,John-Henry Butterworth,/name/nm3890871/?ref_=tt_cl_wr_2
252,Samuel A. Taylor,/name/nm0853138/?ref_=tt_cl_wr_2
253,Ronald Shusett,/name/nm0795953/?ref_=tt_cl_wr_2
254,Michael Green,/name/nm0338169/?ref_=tt_cl_wr_3
255,Todd Phillips,/name/nm0680846/?ref_=tt_cl_wr_1
256,Agenore Incrocci,/name/nm0408488/?ref_=tt_cl_wr_3
257,Robert E. Sherwood,/name/nm0792845/?ref_=tt_cl_wr_1
258,Nikhil Mehrotra,/name/nm6328030/?ref_=tt_cl_wr_3
259,Gore Vidal,/name/nm0000683/?ref_=tt_cl_wr_3
260,Bernd Eichinger,/name/nm0251536/?ref_=tt_cl_wr_1
261,John Houseman,/name/nm0002144/?ref_=tt_cl_wr_3
262,Thomas Vinterberg,/name/nm0899121/?ref_=tt_cl_wr_1
263,Robert Thoeren,/name/nm0858329/?ref_=tt_cl_wr_3
264,Asghar Farhadi,/name/nm1410815/?ref_=tt_cl_wr_1
265,Christopher Markus,/name/nm1321655/?ref_=tt_cl_wr_1
266,Hubert Selby Jr.,/name/nm0782968/?ref_=tt_cl_wr_1
267,Peter Savage,/name/nm0678014/?ref_=tt_cl_wr_3
268,Irvine Welsh,/name/nm0920543/?ref_=tt_cl_wr_1
269,Joachim Fest,/name/nm0275264/?ref_=tt_cl_wr_2
270,Bráulio Mantovani,/name/nm1130251/?ref_=tt_cl_wr_2
271,Sean Penn,/name/nm0000576/?ref_=tt_cl_wr_1
272,Michael Wilson,/name/nm0933858/?ref_=tt_cl_wr_3
273,Nick Schenk,/name/nm1010405/?ref_=tt_cl_wr_1
274,Peter Craig,/name/nm0185976/?ref_=tt_cl_wr_3
275,Martin Sherwin,/name/nm2452558/?ref_=tt_cl_wr_3
276,Garon Tsuchiya,/name/nm1628380/?ref_=tt_cl_wr_1
277,John Musker,/name/nm0615780/?ref_=tt_cl_wr_2
278,Upton Sinclair,/name/nm0801737/?ref_=tt_cl_wr_2
279,B. Traven,/name/nm0871252/?ref_=tt_cl_wr_2
280,Rajendra Sapre,/name/nm13222819/?ref_=tt_cl_wr_2
281,David Webb Peoples,/name/nm0672459/?ref_=tt_cl_wr_2
282,Julie Delpy,/name/nm0000365/?ref_=tt_cl_wr_2
283,Wes Anderson,/name/nm0027572/?ref_=tt_cl_wr_2
284,Masato Ide,/name/nm0406836/?ref_=tt_cl_wr_3
285,Rajkumar Hirani,/name/nm0386246/?ref_=tt_cl_wr_2
286,Emma Donoghue,/name/nm1480980/?ref_=tt_cl_wr_1
287,Gale Anne Hurd,/name/nm0005036/?ref_=tt_cl_wr_2
288,Roderick Thorp,/name/nm0861636/?ref_=tt_cl_wr_1
289,Russel Crouse,/name/nm0189496/?ref_=tt_cl_wr_3
290,Michael Herr,/name/nm0380282/?ref_=tt_cl_wr_3
291,Jake LaMotta,/name/nm0483766/?ref_=tt_cl_wr_1
292,Jihad Hojeily,/name/nm2764802/?ref_=tt_cl_wr_2
293,Traudl Junge,/name/nm0432622/?ref_=tt_cl_wr_3
294,Vincenzo Cerami,/name/nm0148437/?ref_=tt_cl_wr_1
