,Name,Link
220,Toni Collette,/name/nm0001057/?ref_=tt_ov_st
221,Chris Evans,/name/nm0262635/?ref_=tt_ov_st
222,Mohammad Amir Naji,/name/nm0619870/?ref_=tt_ov_st
223,Frank Overton,/name/nm0653942/?ref_=tt_ov_st
224,Leila Hatami,/name/nm0368689/?ref_=tt_ov_st
225,Gustav Fröhlich,/name/nm0297054/?ref_=tt_ov_st
226,Charlie Sheen,/name/nm0000221/?ref_=tt_ov_st
227,Ben Kingsley,/name/nm0001426/?ref_=tt_ov_st
228,Gary Oldman,/name/nm0000198/?ref_=tt_ov_st
229,James Stewart,/name/nm0000071/?ref_=tt_ov_st
230,William Sylvester,/name/nm0843213/?ref_=tt_ov_st
231,Michael Caine,/name/nm0000323/?ref_=tt_ov_st
232,Lee Van Cleef,/name/nm0001812/?ref_=tt_ov_st
233,Paul Henreid,/name/nm0002134/?ref_=tt_ov_st
234,Payman Maadi,/name/nm1818216/?ref_=tt_ov_st
235,Antonella Attili,/name/nm0041066/?ref_=tt_ov_st
236,Kirk Douglas,/name/nm0000018/?ref_=tt_ov_st
237,Richard Widmark,/name/nm0001847/?ref_=tt_ov_st
238,Masayuki Mori,/name/nm0605270/?ref_=tt_ov_st
239,Ralph Fiennes,/name/nm0000146/?ref_=tt_ov_st
240,Philip Seymour Hoffman,/name/nm0000450/?ref_=tt_ov_st
241,Beverly D'Angelo,/name/nm0000350/?ref_=tt_ov_st
242,Joseph Gordon-Levitt,/name/nm0330687/?ref_=tt_ov_st
243,Woody Harrelson,/name/nm0000437/?ref_=tt_ov_st
244,Haley Joel Osment,/name/nm0005286/?ref_=tt_ov_st
245,Olivia Wilde,/name/nm1312575/?ref_=tt_ov_st
246,Gunnar Björnstrand,/name/nm0085038/?ref_=tt_ov_st
247,Jeff Bridges,/name/nm0000313/?ref_=tt_ov_st
248,André Berley,/name/nm0075551/?ref_=tt_ov_st
249,Dafne Keen,/name/nm6748436/?ref_=tt_ov_st
250,Kang Hye-jeong,/name/nm1367246/?ref_=tt_ov_st
251,Takuya Kimura,/name/nm0454120/?ref_=tt_ov_st
252,Rosamund Pike,/name/nm0683253/?ref_=tt_ov_st
253,François Cluzet,/name/nm0167388/?ref_=tt_ov_st
254,Akemi Yamaguchi,/name/nm0945312/?ref_=tt_ov_st
255,Michael Biehn,/name/nm0000299/?ref_=tt_ov_st
256,Sebastian Koch,/name/nm0462407/?ref_=tt_ov_st
257,Sam Neill,/name/nm0000554/?ref_=tt_ov_st
258,Kurt Russell,/name/nm0000621/?ref_=tt_ov_st
259,Viola Davis,/name/nm0205626/?ref_=tt_ov_st
260,Matheus Nachtergaele,/name/nm0618690/?ref_=tt_ov_st
261,Joan Fontaine,/name/nm0000021/?ref_=tt_ov_st
262,Song Kang-ho,/name/nm0814280/?ref_=tt_ov_st
263,Richard Gere,/name/nm0000152/?ref_=tt_ov_st
264,Marlene Dietrich,/name/nm0000017/?ref_=tt_ov_st
265,Jim Carrey,/name/nm0000120/?ref_=tt_ov_st
266,Kim Roe-ha,/name/nm1323287/?ref_=tt_ov_st
267,Claude Rains,/name/nm0001647/?ref_=tt_ov_st
268,Vincent Cassel,/name/nm0001993/?ref_=tt_ov_st
269,Ajay Devgn,/name/nm0222426/?ref_=tt_ov_st
270,Christopher Carley,/name/nm1542291/?ref_=tt_ov_st
271,Toshirô Mifune,/name/nm0001536/?ref_=tt_ov_st
272,Burt Lancaster,/name/nm0000044/?ref_=tt_ov_st
273,James Garner,/name/nm0001258/?ref_=tt_ov_st
274,Bengt Ekerot,/name/nm0252345/?ref_=tt_ov_st
275,Hilary Swank,/name/nm0005476/?ref_=tt_ov_st
276,Sigourney Weaver,/name/nm0000244/?ref_=tt_ov_st
277,Enzo Cannavale,/name/nm0134073/?ref_=tt_ov_st
278,Janet Leigh,/name/nm0001463/?ref_=tt_ov_st
279,Al Pacino,/name/nm0000199/?ref_=tt_ov_st
280,Paul Newman,/name/nm0000056/?ref_=tt_ov_st
281,Amir Farrokh Hashemian,/name/nm0268488/?ref_=tt_ov_st
282,Eli Marienthal,/name/nm0547349/?ref_=tt_ov_st
283,Kate Winslet,/name/nm0000701/?ref_=tt_ov_st
284,Adrien Brody,/name/nm0004778/?ref_=tt_ov_st
285,Ha Jung-woo,/name/nm1978402/?ref_=tt_ov_st
286,Lijo Mol Jose,/name/nm7934649/?ref_=tt_ov_st
287,Gael García Bernal,/name/nm0305558/?ref_=tt_ov_st
288,Stephen Boyd,/name/nm0000963/?ref_=tt_ov_st
289,Edna Purviance,/name/nm0701012/?ref_=tt_ov_st
290,Brian Tyree Henry,/name/nm3109964/?ref_=tt_ov_st
291,Alfred Abel,/name/nm0002154/?ref_=tt_ov_st
292,Alison Crosbie,/name/nm0188949/?ref_=tt_ov_st
293,Brahim Hadjadj,/name/nm0352835/?ref_=tt_ov_st
294,Gian Maria Volontè,/name/nm0002231/?ref_=tt_ov_st
295,Joseph Cotten,/name/nm0001072/?ref_=tt_ov_st
296,Michael Keaton,/name/nm0000474/?ref_=tt_ov_st
297,Daniel Day-Lewis,/name/nm0000358/?ref_=tt_ov_st
298,Walter Huston,/name/nm0404158/?ref_=tt_ov_st
299,Machiko Kyô,/name/nm0477553/?ref_=tt_ov_st
300,Ingrid Bergman,/name/nm0000006/?ref_=tt_ov_st
301,William H. Macy,/name/nm0000513/?ref_=tt_ov_st
302,Nicholas Hoult,/name/nm0396558/?ref_=tt_ov_st
303,Jack Oakie,/name/nm0642988/?ref_=tt_ov_st
304,Charles Chaplin,/name/nm0000122/?ref_=tt_ov_st
305,Anthony Gonzalez,/name/nm5645519/?ref_=tt_ov_st
306,Keiko Tsushima,/name/nm0875477/?ref_=tt_ov_st
307,Luke Bracey,/name/nm3478396/?ref_=tt_ov_st
308,Matthew McConaughey,/name/nm0000190/?ref_=tt_ov_st
309,Charles Bronson,/name/nm0000314/?ref_=tt_ov_st
310,Buster Keaton,/name/nm0000036/?ref_=tt_ov_st
311,Anant Joshi,/name/nm8910763/?ref_=tt_ov_st
312,Joan Allen,/name/nm0000260/?ref_=tt_ov_st
313,Peter Lorre,/name/nm0000048/?ref_=tt_ov_st
314,Ulrich Matthes,/name/nm0559890/?ref_=tt_ov_st
315,Ray Bolger,/name/nm0001961/?ref_=tt_ov_st
316,Alexandre Rodrigues,/name/nm1179105/?ref_=tt_ov_st
317,Cary Grant,/name/nm0000026/?ref_=tt_ov_st
318,Daryl Hannah,/name/nm0000435/?ref_=tt_ov_st
319,Virginia Cherrill,/name/nm0156039/?ref_=tt_ov_st
320,Ellen Widmann,/name/nm0927145/?ref_=tt_ov_st
321,Laurence Olivier,/name/nm0000059/?ref_=tt_ov_st
322,Walter Connolly,/name/nm0175369/?ref_=tt_ov_st
323,Ricardo Darín,/name/nm0201857/?ref_=tt_ov_st
324,Alan Rickman,/name/nm0000614/?ref_=tt_ov_st
325,Ewan McGregor,/name/nm0000191/?ref_=tt_ov_st
326,Jack Lemmon,/name/nm0000493/?ref_=tt_ov_st
327,Rashida Jones,/name/nm0429069/?ref_=tt_ov_st
328,Leonardo DiCaprio,/name/nm0000138/?ref_=tt_ov_st
329,F. Murray Abraham,/name/nm0000719/?ref_=tt_ov_st
330,Yordanos Shiferaw,/name/nm9862859/?ref_=tt_ov_st
331,Steve Buscemi,/name/nm0000114/?ref_=tt_ov_st
332,Alison Doody,/name/nm0233145/?ref_=tt_ov_st
333,Harvey Keitel,/name/nm0000172/?ref_=tt_ov_st
334,Robert Shaw,/name/nm0001727/?ref_=tt_ov_st
335,Paul Freeman,/name/nm0293550/?ref_=tt_ov_st
336,Lubna Azabal,/name/nm0044073/?ref_=tt_ov_st
337,Patton Oswalt,/name/nm0652663/?ref_=tt_ov_st
338,Cho Jin-woong,/name/nm2437361/?ref_=tt_ov_st
339,Suzanne Pleshette,/name/nm0687189/?ref_=tt_ov_st
340,Jennifer Aniston,/name/nm0000098/?ref_=tt_ov_st
341,Alexander Gould,/name/nm1071252/?ref_=tt_ov_st
342,Chazz Palminteri,/name/nm0001590/?ref_=tt_ov_st
343,Michael Bates,/name/nm0060988/?ref_=tt_ov_st
344,Aleksey Kravchenko,/name/nm0470385/?ref_=tt_ov_st
345,Miles Teller,/name/nm1886602/?ref_=tt_ov_st
346,Stephen Graham,/name/nm0334318/?ref_=tt_ov_st
